ticker,year
C1326,2024
C1327,2019
C1328,2024
C1329,2020
C1330,2017
C1331,2024
C1332,2024
C1335,2018
C1336,2017
C1337,2017
C1338,2024
C1339,2021
C1340,2024
C1341,2016
C1342,2023
C1343,2023
C1345,2023
C1346,2020
C1347,2023
C1348,2021
C1349,2024
C1350,2021
C1353,2020
C1354,2022
C1355,2017
C1356,2017
C1357,2022
C1358,2019
C1359,2023
C1360,2023
C1363,2023
C1365,2020
C1366,2015
C1367,2019
C1369,2019
C1371,2016
C1374,2018
C1375,2017
C1376,2024
C1378,2015
C1379,2016
C1380,2021
C1382,2019
C1383,2018
C1384,2020
C1385,2015
C1386,2021
C1387,2015
C1388,2017
C1389,2019
C1390,2022
C1391,2015
C1392,2019
C1394,2018
C1397,2023
C1399,2016
C1400,2023
C1402,2015
C1403,2021
C1404,2022
C1406,2015
C1407,2020
C1408,2018
C1409,2020
C1411,2015
C1412,2019
C1415,2018
C1417,2016
C1418,2015
C1419,2017
C1420,2016
C1421,2023
C1423,2021
C1424,2018
C1425,2016
C1426,2022
C1427,2021
C1430,2017
C1431,2017
C1434,2023
C1436,2015
C1437,2015
C1438,2020
C1442,2016
C1443,2019
C1444,2024
C1445,2020
C1446,2019
C1447,2022
C1448,2018
C1450,2021
C1451,2024
C1452,2020
C1453,2023
C1454,2019
C1455,2023
C1456,2019
C1458,2022
C1459,2016
C1460,2018
C1461,2024
C1462,2020
C1464,2024
C1465,2015
C1467,2017
C1468,2016
C1469,2024
C1470,2020
C1471,2020
C1472,2023
C1473,2017
C1474,2023
C1476,2017
C1477,2016
C1478,2015
C1479,2024
C1480,2024
C1481,2020
C1482,2017
C1483,2022
C1485,2015
C1486,2018
C1488,2020
C1489,2017
C1490,2022
C1491,2021
C1492,2021
C1493,2021
C1494,2018
C1495,2018
C1496,2017
C1498,2023
C1500,2018
C1502,2019
C1505,2016
C1506,2023
C1508,2016
C1509,2016
C1510,2020
C1511,2018
C1512,2022
C1513,2017
C1514,2022
C1515,2019
C1516,2018
C1517,2015
C1519,2017
C1521,2015
C1522,2018
C1523,2017
C1525,2020
C1526,2017
C1530,2017
C1532,2022
C1533,2020
C1534,2015
C1535,2023
C1536,2023
C1537,2018
C1539,2022
C1540,2016
C1543,2023
C1544,2020
C1545,2018
C1547,2020
C1548,2018
C1549,2015
C1551,2021
C1552,2023
C1554,2024
C1555,2016
C1557,2024
C1559,2020
C1560,2020
C1561,2021
C1562,2019
C1563,2015
C1564,2016
C1565,2016
C1567,2015
C1570,2021
C1574,2015
C1576,2024
C1577,2022
C1579,2022
C1580,2019
C1584,2017
C1585,2018
C1586,2023
C1587,2016
C1588,2023
C1589,2024
C1591,2022
C1592,2017
C1593,2019
C1594,2020
C1597,2015
C1599,2015
C1600,2023
C1602,2019
C1603,2021
C1604,2017
C1605,2017
C1606,2019
C1607,2016
C1608,2024
C1609,2019
C1610,2021
C1612,2024
C1613,2024
C1614,2019
C1615,2021
C1616,2016
C1617,2020
C1618,2018
C1620,2024
C1622,2021
C1623,2020
C1626,2016
C1627,2017
C1629,2016
C1630,2021
C1631,2019
C1633,2021
C1634,2022
C1635,2015
C1636,2015
C1638,2023
C1639,2024
C1641,2024
C1642,2016
C1644,2024
C1645,2020
C1646,2018
C1647,2016
C1648,2020
C1649,2021
C1650,2017
C1651,2023
C1652,2024
C1653,2023
C1654,2017
C1655,2024
C1656,2021
C1658,2020
C1659,2017
C1660,2020
C1662,2024
C1663,2019
C1664,2024
C1665,2017
C1667,2018
C1668,2015
C1670,2023
C1671,2015
C1672,2022
C1674,2018
C1676,2015
C1677,2023
C1678,2016
C1679,2017
C1680,2019
C1681,2019
C1684,2024
C1685,2022
C1686,2024
C1687,2017
C1688,2024
C1692,2016
C1693,2016
C1694,2024
C1695,2024
C1696,2018
C1697,2022
C1698,2015
C1699,2022
C1701,2016
C1703,2023
C1704,2021
C1706,2022
C1707,2023
C1708,2016
C1709,2024
C1710,2022
C1711,2021
C1714,2022
C1715,2018
C1716,2016
C1717,2016
C1718,2015
C1721,2016
C1723,2019
C1725,2024
C1726,2017
C1728,2024
C1730,2024
C1732,2020
C1733,2023
C1736,2016
C1737,2023
C1738,2024
C1740,2017
C1742,2017
C1744,2022
C1745,2024
C1746,2021
C1747,2016
C1748,2023
C1750,2020
C1751,2024
C1753,2024
C1754,2020
C1755,2018
C1758,2015
C1759,2015
C1760,2023
C1761,2016
C1762,2016
C1763,2015
C1764,2015
C1765,2024
C1767,2024
C1769,2018
C1770,2019
C1771,2021
C1772,2020
C1775,2020
C1776,2021
C1777,2019
C1779,2021
C1782,2019
C1784,2019
C1786,2021
C1787,2024
C1790,2017
C1791,2021
C1792,2018
C1793,2019
C1798,2016
C1799,2018
C1801,2023
C1802,2023
C1803,2018
C1805,2016
C1806,2017
C1808,2021
C1809,2019
C1810,2023
C1812,2018
C1814,2016
C1815,2021
C1816,2017
C1817,2016
C1818,2022
C1819,2018
C1821,2022
C1822,2020
C1823,2015
C1824,2023
C1826,2022
C1827,2018
C1829,2019
C1830,2019
C1831,2016
C1832,2016
C1833,2015
C1835,2016
C1837,2016
C1840,2018
C1841,2024
C1843,2024
C1847,2016
C1848,2021
C1852,2019
C1854,2015
C1855,2016
C1856,2020
C1857,2021
C1858,2020
C1859,2019
C1860,2021
C1861,2020
C1862,2016
C1864,2017
C1865,2016
C1866,2020
C1867,2018
C1868,2021
C1869,2021
C1870,2019
C1871,2018
C1873,2019
C1874,2021
C1875,2019
C1878,2024
C1880,2015
C1881,2021
C1882,2016
C1883,2018
C1885,2023
C1886,2022
C1887,2021
C1888,2015
C1889,2023
C1890,2021
C1891,2022
C1892,2019
C1893,2017
C1894,2022
C1897,2015
C1898,2021
C1899,2024
C1900,2019
C1902,2018
C1903,2019
C1906,2020
C1908,2023
C1911,2015
C1913,2020
C1915,2023
C1916,2023
C1917,2018
C1918,2020
C1919,2020
C1920,2018
C1921,2015
C1922,2020
C1923,2019
C1924,2018
C1925,2016
C1926,2023
C1927,2024
C1928,2016
C1929,2023
C1931,2024
C1932,2019
C1934,2021
C1940,2016
C1941,2016
C1942,2019
C1943,2021
C1944,2018
C1946,2020
C1947,2024
C1949,2021
C1950,2020
C1951,2021
C1952,2020
C1954,2018
C1956,2022
C1957,2019
C1959,2016
C1960,2023
C1963,2023
C1965,2016
C1967,2023
C1969,2022
C1971,2021
C1972,2017
C1973,2017
C1974,2016
C1975,2016
C1976,2016
C1977,2017
C1978,2015
C1979,2017
C1980,2021
C1984,2018
C1985,2016
C1987,2020
C1989,2016
C1990,2024
C1992,2023
C1993,2021
C1994,2021
C1995,2018
C1996,2020
C1998,2015
C1999,2019
C2000,2019
C2001,2015
C2003,2019
C2004,2016
C2005,2021
C2006,2022
C2009,2019
C2010,2019
C2012,2018
C2014,2017
C2015,2016
C2016,2019
C2018,2023
C2019,2021
C2020,2019
C2021,2018
C2022,2022
C2023,2022
C2025,2016
C2026,2017
C2029,2017
C2030,2019
C2032,2020
C2033,2020
C2034,2015
C2035,2017
C2037,2019
C2038,2022
C2040,2024
C2041,2022
C2042,2023
C2045,2024
C2048,2015
C2050,2020
C2051,2022
C2053,2024
C2055,2023
C2056,2023
C2057,2018
C2058,2022
C2059,2020
C2060,2024
C2061,2018
C2062,2023
C2065,2018
C2066,2022
C2067,2023
C2069,2017
C2070,2015
C2071,2022
C2072,2023
C2073,2023
C2074,2019
C2076,2024
C2078,2019
C2079,2020
C2081,2016
C2082,2016
C2083,2021
C2085,2017
C2086,2023
C2088,2024
C2090,2020
C2093,2018
C2094,2018
C2095,2018
C2098,2017
C2099,2024
C2100,2018
C2101,2017
C2102,2023
C2103,2021
C2105,2018
C2106,2017
C2107,2021
C2108,2017
C2109,2024
C2111,2016
C2112,2019
C2113,2020
C2114,2024
C2115,2018
C2118,2018
C2119,2021
C2120,2019
C2121,2016
C2124,2018
C2125,2020
C2127,2017
C2129,2019
C2130,2015
C2131,2018
C2132,2020
C2134,2017
C2136,2021
C2139,2019
C2140,2019
C2141,2017
C2142,2019
C2144,2018
C2145,2016
C2146,2024
C2147,2018
C2148,2016
C2149,2021
C2150,2019
C2151,2018
C2152,2015
C2153,2023
C2156,2016
C2157,2024
C2159,2020
C2160,2018
C2161,2021
C2162,2022
C2163,2020
C2164,2015
C2165,2019
C2166,2020
C2167,2015
C2170,2023
C2173,2024
C2176,2019
C2177,2017
C2178,2024
C2179,2024
C2180,2021
C2182,2015
C2183,2023
C2184,2018
C2185,2022
C2186,2018
C2187,2016
C2190,2021
C2191,2020
C2192,2024
C2194,2022
C2197,2022
C2198,2019
C2199,2023
C2200,2019
C2202,2024
C2203,2015
C2204,2020
C2205,2022
C2206,2016
C2207,2016
C2209,2018
C2210,2024
C2211,2018
C2212,2024
C2213,2019
C2214,2016
C2215,2020
C2216,2019
C2217,2022
C2219,2022
C2220,2020
C2221,2016
C2222,2015
C2223,2018
C2225,2015
C2226,2016
C2227,2015
C2229,2020
C2230,2016
C2231,2023
C2232,2020
C2233,2016
C2234,2018
C2235,2023
C2236,2015
C2237,2016
C2241,2022
C2242,2017
C2244,2018
C2245,2018
C2246,2017
C2248,2019
C2249,2024
C2251,2020
C2252,2023
C2253,2015
C2254,2020
C2255,2015
C2256,2019
C2258,2018
C2259,2017
C2261,2015
C2263,2022
C2265,2021
C2266,2020
C2268,2019
C2270,2017
C2272,2018
C2274,2017
C2276,2017
C2277,2017
C2278,2016
C2279,2018
C2283,2015
C2284,2018
C2285,2019
C2287,2015
C2288,2018
C2289,2019
C2290,2022
C2291,2017
C2292,2023
C2293,2019
C2298,2021
C2299,2017
C2301,2018
C2302,2024
C2303,2016
C2304,2019
C2305,2016
C2306,2019
C2307,2022
C2308,2017
C2309,2022
C2310,2020
C2311,2019
C2312,2016
C2314,2022
C2315,2021
C2316,2017
C2317,2021
C2318,2021
C2319,2022
C2320,2021
C2322,2021
C2323,2021
C2324,2021
C2325,2019
C2326,2023
C2328,2019
C2329,2016
C2330,2021
C2334,2018
C2335,2020
C2337,2021
C2338,2020
C2339,2016
C2340,2019
C2342,2021
C2343,2019
C2344,2016
C2346,2019
C2349,2016
C2350,2015
C2352,2016
C2355,2016
C2356,2019
C2357,2023
C2359,2022
C2361,2023
C2362,2021
C2364,2021
C2365,2017
C2366,2016
C2367,2018
C2368,2021
C2369,2017
C2370,2020
C2371,2017
C2372,2019
C2373,2024
C2374,2021
C2375,2016
C2376,2020
C2378,2017
C2380,2015
C2381,2024
C2383,2019
C2384,2017
C2386,2020
C2388,2022
C2390,2023
C2392,2021
C2393,2020
C2395,2021
C2397,2019
C2398,2023
C2399,2015
C2400,2023
C2401,2017
C2402,2022
C2403,2020
C2405,2024
C2406,2024
C2407,2023
C2408,2015
C2410,2024
C2411,2021
C2412,2018
C2413,2022
C2414,2015
C2415,2021
C2416,2023
C2420,2018
C2423,2023
C2424,2019
C2426,2022
C2427,2020
C2428,2019
C2429,2020
C2431,2021
C2432,2019
C2433,2022
C2435,2016
C2436,2019
C2437,2015
C2438,2015
C2439,2024
C2441,2024
C2442,2020
C2443,2015
C2446,2019
C2451,2023
C2453,2024
C2454,2017
C2457,2019
C2459,2021
C2460,2018
C2461,2020
C2462,2017
C2465,2019
C2466,2017
C2467,2021
C2468,2018
C2469,2018
C2471,2016
C2472,2016
C2473,2023
C2474,2021
C2475,2024
C2476,2018
C2478,2020
C2481,2016
C2482,2016
C2483,2016
C2484,2018
C2485,2024
C2486,2016
C2488,2015
C2489,2016
C2490,2024
C2491,2022
C2492,2015
C2493,2019
C2494,2015
C2495,2016
C2497,2019
C2498,2016
C2499,2019
C2500,2023
C2501,2022
C2504,2015
C2505,2017
C2506,2024
C2507,2017
C2508,2024
C2509,2021
C2511,2019
C2512,2022
C2513,2023
C2514,2022
C2516,2020
C2517,2022
C2518,2023
C2519,2023
C2520,2024
C2522,2023
C2524,2022
C2525,2019
C2526,2019
C2528,2024
C2529,2016
C2532,2022
C2533,2024
C2534,2023
C2535,2023
C2536,2021
C2537,2017
C2538,2019
C2539,2021
C2540,2019
C2541,2017
C2542,2016
C2543,2021
C2544,2019
C2547,2024
C2548,2021
C2551,2018
C2552,2021
C2553,2023
C2555,2023
C2556,2020
C2557,2024
C2558,2021
C2560,2022
C2562,2023
C2563,2019
C2564,2015
C2565,2021
C2566,2022
C2567,2022
C2568,2015
C2569,2023
C2570,2017
C2571,2022
C2572,2019
C2573,2022
C2575,2024
C2576,2021
C2577,2019
C2578,2016
C2579,2018
C2582,2021
C2583,2023
C2584,2019
C2585,2017
C2586,2020
C2587,2023
C2588,2020
C2589,2016
C2590,2019
C2591,2017
C2592,2024
C2593,2017
C2594,2019
C2595,2017
C2597,2019
C2600,2018
C2601,2022
C2603,2017
C2604,2024
C2605,2024
C2606,2022
C2607,2024
C2608,2024
C2609,2023
C2611,2024
C2612,2018
C2613,2021
C2614,2021
C2616,2015
C2617,2021
C2618,2018
C2619,2023
C2620,2020
C2621,2022
C2622,2023
C2623,2017
C2624,2024
C2625,2016
C2626,2015
C2627,2016
C2628,2021
C2629,2016
C2630,2024
C2631,2022
C2633,2019
C2635,2019
C2636,2018
C2637,2023
C2639,2018
C2640,2017
C2641,2023
C2642,2018
C2643,2019
C2647,2017
C2649,2020
C2650,2016
C2651,2018
C2652,2017
C2654,2015
C2655,2020
C2656,2016
C2657,2020
C2659,2020
C2660,2020
C2661,2024
C2663,2019
C2664,2022
C2665,2022
C2666,2016
C2667,2015
C2669,2017
C2670,2017
C2673,2016
C2675,2023
C2676,2022
C2677,2024
C2678,2021
C2680,2022
C2681,2016
C2682,2023
C2683,2018
C2684,2020
C2685,2018
C2686,2017
C2687,2022
C2688,2019
C2689,2019
C2690,2016
C2691,2023
C2692,2020
C2693,2019
C2694,2020
C2695,2023
C2696,2017
C2697,2022
C2698,2023
C2699,2016
C2700,2017
C2702,2015
C2703,2020
C2705,2021
C2706,2016
C2707,2022
C2708,2022
C2710,2023
C2711,2020
C2714,2015
C2717,2023
C2718,2021
C2720,2019
C2721,2019
C2722,2018
C2723,2015
C2724,2015
C2725,2022
C2726,2022
C2727,2023
C2728,2018
C2732,2022
C2733,2016
C2734,2022
C2735,2022
C2736,2017
C2737,2015
C2738,2015
C2740,2018
C2742,2017
C2743,2018
C2744,2023
C2745,2015
C2746,2024
C2748,2021
C2749,2017
C2750,2018
C2751,2024
C2752,2016
C2753,2015
C2754,2017
C2755,2016
C2756,2024
C2757,2024
C2758,2021
C2759,2024
C2760,2019
C2762,2018
C2765,2018
C2768,2024
C2769,2015
C2770,2024
C2771,2019
C2772,2019
C2773,2018
C2774,2022
C2776,2016
C2777,2021
C2778,2018
C2780,2024
C2781,2016
C2782,2015
C2783,2016
C2784,2023
C2785,2020
C2786,2017
C2787,2021
C2788,2022
C2789,2020
C2790,2018
C2792,2020
C2795,2024
C2796,2015
C2797,2015
C2798,2016
C2799,2021
C2800,2022
C2801,2019
C2802,2020
C2805,2020
C2807,2019
C2808,2023
C2809,2015
C2810,2021
C2811,2024
C2812,2022
C2813,2024
C2814,2021
C2815,2021
C2816,2020
C2817,2019
C2818,2015
C2820,2024
C2821,2023
C2823,2019
C2824,2019
C2825,2024
C2826,2016
C2827,2017
C2829,2016
C2830,2020
C2831,2019
C2835,2016
C2836,2019
C2838,2021
C2841,2019
C2842,2016
C2844,2015
C2845,2016
C2846,2021
C2847,2019
C2848,2020
C2849,2024
C2851,2020
C2853,2021
C2856,2015
C2857,2019
C2858,2017
C2859,2017
C2861,2018
C2862,2015
C2863,2020
C2865,2016
C2866,2023
C2867,2020
C2868,2022
C2871,2015
C2872,2017
C2873,2016
C2874,2021
C2877,2024
C2878,2015
C2879,2017
C2880,2020
C2882,2023
C2883,2016
C2885,2023
C2889,2016
C2892,2018
C2896,2024
C2897,2023
C2898,2022
C2899,2016
C2900,2016
C2902,2023
C2904,2021
C2905,2015
C2907,2015
C2908,2021
C2910,2022
C2913,2018
C2914,2017
C2915,2020
C2916,2021
C2917,2023
C2918,2024
C2919,2024
C2921,2022
C2922,2020
C2923,2019
C2924,2024
C2925,2017
C2926,2020
C2927,2022
C2929,2015
C2930,2017
C2931,2022
C2933,2018
C2934,2024
C2936,2020
C2938,2017
C2939,2020
C2940,2015
C2941,2015
C2942,2020
C2943,2015
C2944,2016
C2945,2024
C2948,2024
C2949,2018
C2950,2024
C2951,2024
C2952,2019
C2953,2017
C2954,2015
C2955,2023
C2956,2021
C2957,2019
C2958,2023
C2959,2023
C2960,2020
C2961,2016
C2962,2023
C2963,2023
C2964,2020
C2965,2015
C2966,2023
C2967,2017
C2969,2021
C2971,2023
C2973,2022
C2975,2017
C2977,2021
C2978,2023
C2979,2020
C2980,2015
C2981,2020
C2982,2019
C2983,2022
C2984,2020
C2985,2018
C2986,2021
C2987,2016
C2988,2024
C2992,2020
C2993,2024
C2994,2018
C2995,2022
C2996,2021
C2997,2018
C2998,2023
C3002,2020
C3003,2022
C3005,2021
C3006,2016
C3007,2023
C3008,2020
C3009,2020
C3010,2016
C3012,2024
C3013,2019
C3015,2017
C3017,2023
C3018,2023
C3019,2017
C3020,2020
C3021,2022
C3022,2015
C3023,2023
C3024,2021
C3026,2021
C3027,2022
C3028,2022
C3029,2019
C3031,2024
C3032,2024
C3033,2022
C3035,2015
C3036,2017
C3037,2017
C3038,2016
C3039,2024
C3040,2016
C3041,2017
C3042,2023
C3043,2015
C3044,2024
C3046,2016
C3047,2019
C3049,2021
C3051,2018
C3052,2024
C3053,2015
C3056,2020
C3057,2017
C3061,2023
C3062,2020
C3063,2015
C3064,2018
C3065,2021
C3066,2020
C3068,2017
C3069,2018
C3071,2017
C3072,2022
C3074,2015
C3075,2015
C3076,2020
C3077,2020
C3078,2020
C3079,2018
C3081,2019
C3083,2017
C3084,2020
C3085,2024
C3086,2022
C3088,2015
C3089,2024
C3099,2017
C3100,2024
C3101,2016
C3102,2021
C3104,2024
C3106,2021
C3107,2021
C3108,2015
C3109,2016
C3110,2017
C3112,2017
C3113,2021
C3114,2017
C3115,2017
C3116,2020
C3117,2021
C3119,2015
C3120,2016
C3121,2024
C3122,2023
C3124,2020
C3126,2017
C3127,2017
C3128,2021
C3129,2024
C3130,2021
C3131,2019
C3134,2022
C3136,2023
C3139,2019
C3141,2021
C3142,2018
C3143,2019
C3145,2015
C3148,2022
C3150,2020
C3151,2020
C3153,2015
C3154,2021
C3156,2024
C3157,2020
C3158,2016
C3159,2018
C3160,2017
C3161,2017
C3162,2018
C3163,2016
C3164,2022
C3165,2016
C3167,2023
C3168,2019
C3170,2020
C3171,2017
C3172,2016
C3173,2017
C3174,2022
C3175,2018
C3176,2017
C3178,2019
C3182,2022
C3185,2023
C3186,2024
C3187,2018
C3188,2016
C3189,2018
C3191,2022
C3192,2021
C3196,2016
C3198,2015
C3199,2024
C3200,2019
C3201,2016
C3202,2023
C3203,2016
C3204,2023
C3205,2019
C3207,2016
C3208,2021
C3209,2021
C3212,2015
C3213,2018
C3214,2020
C3215,2020
C3216,2015
C3217,2022
C3218,2020
C3219,2024
C3223,2023
C3224,2019
C3225,2023
C3229,2016
C3230,2022
C3231,2019
C3232,2017
C3235,2019
C3237,2022
C3238,2023
C3240,2015
C3241,2018
C3244,2017
C3245,2016
C3246,2016
C3248,2020
C3252,2015
C3255,2023
C3256,2020
C3257,2022
C3258,2017
C3260,2017
C3263,2019
C3264,2016
C3265,2015
C3266,2020
C3267,2022
C3268,2018
C3269,2015
C3270,2019
C3271,2018
C3272,2024
C3273,2015
C3275,2022
C3276,2020
C3277,2017
C3279,2017
C3280,2017
C3281,2017
C3282,2020
C3283,2017
C3285,2021
C3287,2016
C3288,2016
C3289,2015
C3290,2022
C3291,2023
C3292,2017
C3293,2022
C3296,2024
C3297,2018
C3300,2019
C3302,2021
C3303,2021
C3304,2015
C3305,2016
C3306,2016
C3307,2017
C3311,2017
C3312,2024
C3314,2024
C3318,2018
C3319,2024
C3320,2023
C3324,2024
C3325,2016
C3327,2023
C3328,2021
C3329,2023
C3330,2015
C3332,2019
C3334,2015
C3335,2018
C3338,2024
C3339,2023
C3341,2015
C3344,2015
C3345,2022
C3346,2024
C3347,2017
C3348,2017
C3349,2022
C3350,2024
C3351,2019
C3352,2016
C3353,2024
C3354,2018
C3355,2018
C3357,2018
C3358,2020
C3359,2020
C3360,2022
C3361,2017
C3363,2019
C3364,2021
C3365,2024
C3366,2018
C3367,2023
C3368,2022
C3369,2020
C3372,2016
C3373,2015
C3375,2023
C3376,2023
C3377,2017
C3378,2018
C3379,2021
C3380,2020
C3381,2024
C3382,2017
C3384,2019
C3385,2016
C3386,2023
C3387,2018
C3388,2016
C3390,2016
C3391,2022
C3393,2015
C3394,2017
C3396,2024
C3397,2017
C3398,2017
C3399,2021
C3402,2023
C3405,2017
C3406,2022
C3407,2015
C3408,2017
C3412,2019
C3414,2017
C3415,2024
C3416,2021
C3417,2022
C3418,2024
C3422,2015
C3423,2015
C3424,2019
C3425,2015
C3427,2023
C3429,2020
C3431,2019
C3433,2019
C3434,2016
C3435,2019
C3436,2024
C3438,2016
C3439,2023
C3440,2016
C3441,2016
C3442,2015
C3443,2016
C3444,2024
C3445,2018
C3447,2016
C3448,2016
C3449,2024
C3450,2024
C3451,2024
C3452,2022
C3453,2020
C3454,2015
C3456,2024
C3457,2016
C3458,2017
C3459,2017
C3460,2015
C3461,2016
C3464,2023
C3466,2023
C3469,2019
C3470,2022
C3471,2021
C3472,2015
C3473,2020
C3474,2020
C3476,2020
C3479,2017
C3482,2018
C3484,2024
C3485,2019
C3487,2024
C3488,2018
C3490,2017
C3491,2015
C3492,2020
C3493,2017
C3494,2016
C3496,2022
C3497,2016
C3498,2016
C3499,2021
C3501,2018
C3502,2015
C3505,2021
C3506,2024
C3507,2024
C3508,2019
C3510,2019
C3511,2024
C3512,2018
C3513,2017
C3514,2021
C3515,2019
C3516,2017
C3517,2016
C3519,2023
C3520,2024
C3521,2016
C3522,2024
C3523,2020
C3524,2019
C3526,2017
C3528,2015
C3529,2023
C3530,2016
C3532,2016
C3534,2021
C3535,2020
C3536,2019
C3537,2017
C3538,2017
C3539,2022
C3540,2024
C3541,2024
C3542,2018
C3543,2015
C3544,2022
C3545,2016
C3546,2018
C3547,2015
C3549,2019
C3550,2018
C3551,2020
C3552,2022
C3553,2019
C3559,2024
C3560,2017
C3561,2024
C3562,2019
C3563,2015
C3564,2020
C3565,2024
C3566,2017
C3567,2022
C3569,2018
C3570,2020
C3572,2015
C3574,2021
C3575,2017
C3576,2024
C3577,2018
C3578,2021
C3579,2019
C3581,2022
C3582,2019
C3583,2021
C3584,2023
C3585,2020
C3587,2022
C3588,2024
C3590,2022
C3592,2017
C3593,2020
C3594,2016
C3596,2019
C3597,2016
C3598,2015
C3599,2017
C3602,2015
C3604,2023
C3605,2020
C3606,2024
C3608,2015
C3609,2022
C3610,2023
C3611,2020
C3612,2015
C3613,2018
C3614,2018
C3616,2016
C3618,2021
C3619,2019
C3620,2021
C3621,2018
C3622,2020
C3624,2023
C3625,2017
C3628,2015
C3629,2020
C3630,2018
C3631,2018
C3633,2023
C3634,2022
C3635,2016
C3637,2020
C3638,2017
C3639,2015
C3640,2016
C3641,2020
C3642,2015
C3644,2017
C3645,2019
C3646,2018
C3647,2024
C3648,2015
C3650,2020
C3651,2015
C3652,2019
C3653,2023
C3654,2017
C3655,2020
C3656,2022
C3657,2018
C3658,2021
C3659,2019
C3660,2021
C3661,2022
C3662,2021
C3664,2022
C3665,2023
C3668,2021
C3670,2015
C3671,2019
C3672,2021
C3674,2023
C3675,2020
C3676,2019
C3677,2016
C3679,2015
C3681,2023
C3682,2022
C3684,2015
C3685,2016
C3686,2017
C3687,2020
C3688,2016
C3689,2021
C3690,2023
C3691,2015
